time,strategy,exchange,symbol,side,sec_type,type,status,price,filled_quantity,multiplier,trade_cost,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration
2020-07-24 10:31:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,4135,1,0.0,gtc,,0.0,1,
2020-07-24 10:32:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,4209,1,0.0,gtc,,0.0,1,
2020-07-24 10:33:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,4285,1,0.0,gtc,,0.0,1,
2020-07-24 10:34:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,4361,1,0.0,gtc,,0.0,1,
2020-07-24 10:35:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,4439,1,0.0,gtc,,0.0,1,
2020-07-24 10:36:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,4519,1,0.0,gtc,,0.0,1,
2020-07-24 10:37:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,4600,1,0.0,gtc,,0.0,1,
2020-07-24 10:38:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,4682,1,0.0,gtc,,0.0,1,
2020-07-24 10:39:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,4766,1,0.0,gtc,,0.0,1,
2020-07-24 10:40:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,4851,1,0.0,gtc,,0.0,1,
2020-07-24 10:41:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,4938,1,0.0,gtc,,0.0,1,
2020-07-24 10:42:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,5026,1,0.0,gtc,,0.0,1,
2020-07-24 10:43:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,5116,1,0.0,gtc,,0.0,1,
2020-07-24 10:44:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,5207,1,0.0,gtc,,0.0,1,
2020-07-24 10:45:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,5300,1,0.0,gtc,,0.0,1,
2020-07-24 10:46:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,5395,1,0.0,gtc,,0.0,1,
2020-07-24 10:47:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,5492,1,0.0,gtc,,0.0,1,
2020-07-24 10:48:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,5590,1,0.0,gtc,,0.0,1,
2020-07-24 10:49:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,5690,1,0.0,gtc,,0.0,1,
2020-07-24 10:50:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,5792,1,0.0,gtc,,0.0,1,
2020-07-24 10:51:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,5895,1,0.0,gtc,,0.0,1,
2020-07-24 10:52:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,6001,1,0.0,gtc,,0.0,1,
